Member Name,Job Title
Arthur D. Levinson,Independent Chairman of the Board
Timothy D. Cook,"Chief Executive Officer, Director"
Luca Maestri,"Chief Financial Officer, Senior Vice President"
Jeffrey E. Williams,Chief Operating Officer
Katherine L. Adams,"Senior Vice President, General Counsel, Secretary"
Deirdre O'Brien,Senior Vice President - Retail and People
James A. Bell,Independent Director
Albert A. Gore,Independent Director
Alex Gorsky,Independent Director
Andrea Jung,Independent Director
Monica C. Lozano,Independent Director
Ronald D. Sugar,Independent Director
Susan L. Wagner,Independent Director
