Member Name,Job Title
Mukesh Dhirubhai Ambani,"Chairman of the Board, Managing Director, Whole-time Director"
Alok Agarwal,Chief Financial Officer
Srikanth Venkatachari,Joint Chief Financial Officer
Savithri Parekh,Joint Company Secretary & Compliance Officer
K. Sethuraman,"Group Company Secretary, Chief Compliance Officer"
Pawan Kumar Kapil,"Executive Director, Managing Director, Whole-time Directors"
Hital Rasiklal Meswani,"Executive Director, Managing Director, Whole-time Director"
Nikhil Rasiklal Meswani,"Executive Director, Managing Director, Whole-time Director"
P. M. S. Prasad,"Executive Director, Managing Director, Whole-time Director"
Nita Mukesh Ambani,Non-Executive Director
K. V. Chowdary,Non-Executive Director
Yasir O. Al Rumayyan,Additional Independent Director
Shumeet Banerji,Non-Executive Independent Director
Arundhati Bhattacharya,Non-Executive Independent Director
Raminder Singh Gujral,Non-Executive Independent Director
Dipak Chand Jain,Non-Executive Independent Director
Raghunath Anant Mashelkar,Non-Executive Independent Director
Adil Zainulbhai,Non-Executive Independent Director
